taxid	string_name	new_taxid	ncbi_name	root
33178	Aspergillus terreus	33178	Aspergillus terreus	31
33188	Uncinocarpus reesii	33188	Uncinocarpus reesii	31
34349	Mixia osmundae	34349	Mixia osmundae	31
34373	Blumeria graminis	34373	Blumeria graminis	31
34506	Strongyloides ratti	34506	Strongyloides ratti	24
34740	Heliconius melpomene	34740	Heliconius melpomene	24
34839	Chinchilla lanigera	34839	Chinchilla lanigera	12
35128	Thalassiosira pseudonana	35128	Thalassiosira pseudonana	36
35720	Thielavia terrestris	2587410	Thermothielavioides terrestris	31
35725	Macrophomina phaseolina	35725	Macrophomina phaseolina	31
36033	Vanderwaltozyma polyspora	36033	Vanderwaltozyma polyspora	31
36080	Mucor circinelloides	36080	Mucor circinelloides	31
36331	Pythium irregulare	36331	Pythium irregulare	36
36630	Neosartorya fischeri	36630	Aspergillus fischeri	31
36651	Penicillium digitatum	36651	Penicillium digitatum	31
36914	Lodderomyces elongisporus	36914	Lodderomyces elongisporus	31
37682	Aegilops tauschii	37682	Aegilops tauschii	33
37727	Talaromyces marneffei	37727	Talaromyces marneffei	31
38033	Chaetomium globosum	38033	Chaetomium globosum	31
38654	Alligator sinensis	38654	Alligator sinensis	17
38727	Panicum virgatum	38727	Panicum virgatum	33
38833	Micromonas pusilla	38833	Micromonas pusilla	33
39416	Tuber melanosporum	39416	Tuber melanosporum	31
40127	Neurospora tetrasperma	40127	Neurospora tetrasperma	31
40148	Oryza glumipatula	40148	Oryza glumipatula	33
40149	Oryza meridionalis	40149	Oryza meridionalis	33
40384	Aspergillus kawachii	40384	Aspergillus kawachii	31
40483	Fomitopsis pinicola	40483	Fomitopsis pinicola	31
40492	Stereum hirsutum	40492	Stereum hirsutum	31
40559	Botrytis cinerea	40559	Botrytis cinerea	31
41875	Bathycoccus prasinos	41875	Bathycoccus prasinos	33
42068	Pneumocystis jirovecii	42068	Pneumocystis jirovecii	31
42099	Pythium vexans	907947	Phytopythium vexans	36
42254	Sorex araneus	42254	Sorex araneus	13
42345	Phoenix dactylifera	42345	Phoenix dactylifera	33
42374	Candida dubliniensis	42374	Candida dubliniensis	31
43151	Anopheles darlingi	43151	Anopheles darlingi	24
43179	Ictidomys tridecemlineatus	43179	Ictidomys tridecemlineatus	12
43228	Capronia epimyces	43228	Capronia epimyces	31
43229	Capronia coronata	43229	Capronia coronata	31
44056	Aureococcus anophagefferens	44056	Aureococcus anophagefferens	36
44689	Dictyostelium discoideum	44689	Dictyostelium discoideum	32
45130	Bipolaris sorokiniana	45130	Bipolaris sorokiniana	31
45151	Pyrenophora triticirepentis	45151	Pyrenophora tritici-repentis	31
45157	Cyanidioschyzon merolae	45157	Cyanidioschyzon merolae	35
45285	Eremothecium cymbalariae	45285	Eremothecium cymbalariae	31
45351	Nematostella vectensis	45351	Nematostella vectensis	26
45596	Candida tenuis	2315449	Yamadazyma tenuis	31
46681	Entamoeba dispar	46681	Entamoeba dispar	32
48698	Poecilia formosa	48698	Poecilia formosa	20
50452	Arabis alpina	50452	Arabis alpina	33
51337	Jaculus jaculus	51337	Jaculus jaculus	12
51453	Trichoderma reesei	51453	Trichoderma reesei	31
51511	Ciona savignyi	51511	Ciona savignyi	21
52644	Haliaeetus leucocephalus	52644	Haliaeetus leucocephalus	17
53485	Pyrenophora teres	53485	Pyrenophora teres	31
55529	Guillardia theta	55529	Guillardia theta	30
57918	Fragaria vesca	57918	Fragaria vesca	33
59463	Myotis lucifugus	59463	Myotis lucifugus	13
59538	Pantholops hodgsonii	59538	Pantholops hodgsonii	13
59689	Arabidopsis lyrata	59689	Arabidopsis lyrata	33
59894	Ficedula albicollis	59894	Ficedula albicollis	17
60711	Chlorocebus sabaeus	60711	Chlorocebus sabaeus	6
61273	Ophiostoma piceae	61273	Ophiostoma piceae	31
61459	Coniosporium apollinis	61459	Coniosporium apollinis	31
61622	Rhinopithecus roxellana	61622	Rhinopithecus roxellana	6
61853	Nomascus leucogenys	61853	Nomascus leucogenys	5
63400	Arthroderma benhamiae	63400	Trichophyton benhamiae	31
63402	Microsporum gypseum	63402	Nannizzia gypsea	31
63405	Arthroderma otae	63405	Microsporum canis	31
63418	Trichophyton equinum	63418	Trichophyton equinum	31
63577	Trichoderma atroviride	63577	Trichoderma atroviride	31
64363	Mycosphaerella pini	64363	Dothistroma septosporum	31
65071	Pythium ultimum	2052682	Globisporangium ultimum	36
65489	Oryza barthii	65489	Oryza barthii	33
65672	Piriformospora indica	65672	Serendipita indica	31
67593	Phytophthora sojae	67593	Phytophthora sojae	36
68886	Theileria orientalis	68886	Theileria orientalis	36
69293	Gasterosteus aculeatus	69293	Gasterosteus aculeatus	20
69319	Microplitis demolitor	69319	Microplitis demolitor	24
69781	Penicillium oxalicum	69781	Penicillium oxalicum	31
70448	Ostreococcus tauri	70448	Ostreococcus tauri	33
71139	Eucalyptus grandis	71139	Eucalyptus grandis	33
72004	Bos mutus	72004	Bos mutus	13
72019	Sphaeroforma arctica	72019	Sphaeroforma arctica	30
72228	Ophiocordyceps sinensis	72228	Ophiocordyceps sinensis	31
72558	Sporisorium reilianum	72558	Sporisorium reilianum	31
72658	Boechera stricta	72658	Boechera stricta	33
72664	Eutrema salsugineum	72664	Eutrema salsugineum	33
73501	Cordyceps militaris	73501	Cordyceps militaris	31
77586	Leersia perrieri	77586	Leersia perrieri	33
78579	Myceliophthora thermophila	78579	Thermothelomyces thermophilus	31
78898	Mortierella verticillata	78898	Mortierella verticillata	31
79684	Microtus ochrogaster	79684	Microtus ochrogaster	12
80637	Coniophora puteana	80637	Coniophora puteana	31
80884	Colletotrichum higginsianum	80884	Colletotrichum higginsianum	31
81824	Monosiga brevicollis	81824	Monosiga brevicollis	30
81985	Capsella rubella	81985	Capsella rubella	33
82508	Trichosporon asahii	82508	Trichosporon asahii	31
83344	Pseudocercospora fijiensis	1873960	Pseudocercospora fijiensis	31
84751	Pseudozyma flocculosa	84751	Anthracocystis flocculosa	31
85681	Citrus clementina	85681	Citrus clementina	33
85929	Sphaerulina musiva	85929	Sphaerulina musiva	31
85982	Serpula lacrymans	85982	Serpula lacrymans	31
86049	Cladophialophora carrionii	86049	Cladophialophora carrionii	31
88036	Selaginella moellendorffii	88036	Selaginella moellendorffii	33
89462	Bubalus bubalis	89462	Bubalus bubalis	13
90675	Camelina sativa	90675	Camelina sativa	33
92637	Metarhizium acridum	92637	Metarhizium acridum	31
93612	Setosphaeria turcica	93612	Exserohilum turcicum	31
97096	Eutypa lata	97096	Eutypa lata	31
99158	Hammondia hammondi	99158	Hammondia hammondi	36
101028	Fusarium pseudograminearum	101028	Fusarium pseudograminearum	31
101162	Bipolaris oryzae	101162	Bipolaris oryzae	31
101852	Glarea lozoyensis	101852	Glarea lozoyensis	31
102107	Prunus mume	102107	Prunus mume	33
103372	Acromyrmex echinatior	103372	Acromyrmex echinatior	24
104355	Gloeophyllum trabeum	104355	Gloeophyllum trabeum	31
106582	Maylandia zebra	106582	Maylandia zebra	20
109478	Myotis brandtii	109478	Myotis brandtii	13
109760	Spizellomyces punctatus	109760	Spizellomyces punctatus	31
109871	Batrachochytrium dendrobatidis	109871	Batrachochytrium dendrobatidis	31
110365	Gregarina niphandrodes	110365	Gregarina niphandrodes	36
112098	Saprolegnia diclina	112098	Saprolegnia diclina	36
113608	Tetrapisispora phaffii	113608	Tetrapisispora phaffii	31
115417	Pythium iwayamai	115417	Pythium iwayamai	36
117187	Fusarium verticillioides	117187	Fusarium verticillioides	31
118797	Lipotes vexillifer	118797	Lipotes vexillifer	13
120017	Ustilago hordei	120017	Ustilago hordei	31
121225	Pediculus humanus	121225	Pediculus humanus	24
121759	Paracoccidioides brasiliensis	121759	Paracoccidioides brasiliensis	31
126957	Strigamia maritima	126957	Strigamia maritima	24
128390	Nipponia nippon	128390	Nipponia nippon	17
130081	Galdieria sulphuraria	130081	Galdieria sulphuraria	35
132113	Bombus impatiens	132113	Bombus impatiens	24
132908	Pteropus vampyrus	132908	Pteropus vampyrus	13
135651	Caenorhabditis brenneri	135651	Caenorhabditis brenneri	24
136037	Zootermopsis nevadensis	136037	Zootermopsis nevadensis	24
140110	Nectria haematococca	140110	[Nectria] haematococca	31
144197	Stegastes partitus	144197	Stegastes partitus	20
148304	Magnaporthiopsis poae	148304	Magnaporthiopsis poae	31
148960	Wallemia sebi	148960	Wallemia sebi	31
157072	Aphanomyces invadans	157072	Aphanomyces invadans	36
159749	Thalassiosira oceanica	159749	Thalassiosira oceanica	36
160860	Auricularia delicata	160860	Auricularia delicata	31
161934	Beta vulgaris	161934	Beta vulgaris	33
162425	Aspergillus nidulans	162425	Aspergillus nidulans	31
164328	Phytophthora ramorum	164328	Phytophthora ramorum	36
176275	Beauveria bassiana	176275	Beauveria bassiana	31
176946	Python bivittatus	176946	Python bivittatus	17
181119	Pseudopodoces humilis	181119	Pseudopodoces humilis	17
185453	Chrysochloris asiatica	185453	Chrysochloris asiatica	14
192875	Capsaspora owczarzaki	192875	Capsaspora owczarzaki	30
199306	Coccidioides posadasii	199306	Coccidioides posadasii	31
202698	Punctularia strigosozonata	202698	Punctularia strigosozonata	31
203908	Melampsora laricipopulina	203908	Melampsora larici-populina	31
208960	Fomitiporia mediterranea	208960	Fomitiporia mediterranea	31
209285	Chaetomium thermophilum	209285	Chaetomium thermophilum	31
215358	Larimichthys crocea	215358	Larimichthys crocea	20
218851	Aquilegia coerulea	218851	Aquilegia coerulea	33
221103	Moniliophthora roreri	221103	Moniliophthora roreri	31
223192	Togninia minima	223192	Phaeoacremonium minimum	31
225117	Pyrus x bretschneideri	225117	Pyrus x bretschneideri	33
225400	Myotis davidii	225400	Myotis davidii	13
226899	Grosmannia clavigera	226899	Grosmannia clavigera	31
227086	Bigelowiella natans	227086	Bigelowiella natans	34
242159	Ostreococcus lucimarinus	242159	Ostreococcus sp. 'lucimarinus'	33
244447	Cynoglossus semilaevis	244447	Cynoglossus semilaevis	20
245174	Wallemia ichthyophaga	245174	Wallemia ichthyophaga	31
246437	Tupaia chinensis	246437	Tupaia chinensis	11
248742	Coccomyxa subellipsoidea	248742	Coccomyxa subellipsoidea	33
263815	Pneumocystis murina	263815	Pneumocystis murina	31
264402	Capsella grandiflora	264402	Capsella grandiflora	33
264951	Byssochlamys spectabilis	264951	Byssochlamys spectabilis	31
272952	Hyaloperonospora arabidopsidis	272952	Hyaloperonospora arabidopsidis	36
273371	Candida orthopsilosis	273371	Candida orthopsilosis	31
281687	Caenorhabditis japonica	281687	Caenorhabditis japonica	24
293227	Cyphellophora europaea	293227	Cyphellophora europaea	31
296587	Micromonas sp. RCC299	296587	Micromonas commoda	33
303518	Pundamilia nyererei	303518	Pundamilia nyererei	20
310453	Neofusicoccum parvum	310453	Neofusicoccum parvum	31
318829	Magnaporthe oryzae	318829	Pyricularia oryzae	31
325452	Phytophthora kernoviae	325452	Phytophthora kernoviae	36
327079	Pseudozyma hubeiensis	327079	Pseudozyma hubeiensis	31
337075	Pyronema omphalodes	337075	Pyronema omphalodes	31
340170	Spathaspora passalidarum	340170	Spathaspora passalidarum	31
364733	Endocarpon pusillum	364733	Endocarpon pusillum	31
381046	Lachancea thermotolerans	381046	Lachancea thermotolerans	31
393283	Pestalotiopsis fici	393283	Pestalotiopsis fici	31
400682	Amphimedon queenslandica	400682	Amphimedon queenslandica	28
430498	Dactylellina haptotyla	430498	Dactylellina haptotyla	31
430998	Baudoinia compniacensis	430998	Baudoinia compniacensis	31
432096	Kazachstania africana	432096	Kazachstania africana	31
470704	Cladophialophora yegresii	470704	Cladophialophora yegresii	31
474922	Colletotrichum gloeosporioides	474922	Colletotrichum gloeosporioides	31
482537	Galeopterus variegatus	482537	Galeopterus variegatus	10
529818	Thecamonas trahens	529818	Thecamonas trahens	30
552467	Cryptococcus gattii	552467	Cryptococcus gattii VGIII	31
554065	Chlorella variabilis	554065	Chlorella variabilis	33
568076	Metarhizium robertsii	568076	Metarhizium robertsii	31
588596	Rhizophagus irregularis	588596	Rhizophagus irregularis	31
588726	Kazachstania naganishii	588726	Kazachstania naganishii	31
653948	Albugo laibachii	653948	Albugo laibachii	36
655981	Pseudogymnoascus destructans	655981	Pseudogymnoascus destructans	31
691883	Fonticula alba	691883	Fonticula alba	30
698440	Marssonina brunnea	698440	Marssonina brunnea	31
710243	Colletotrichum fioriniae	710243	Colletotrichum fioriniae	31
746128	Aspergillus fumigatus	746128	Aspergillus fumigatus	31
866546	Schizosaccharomyces cryophilus	866546	Schizosaccharomyces cryophilus	31
885580	Fukomys damarensis	885580	Fukomys damarensis	12
936053	Rhizopus delemar	936053	Rhizopus delemar	31
946362	Salpingoeca rosetta	946362	Salpingoeca rosetta	30
981085	Morus notabilis	981085	Morus notabilis	33
984962	Heterobasidion irregulare	984962	Heterobasidion irregulare	31
1005962	Ogataea parapolymorpha	1005962	Ogataea parapolymorpha	31
1026970	Nannospalax galili	1026970	Nannospalax galili	12
1041607	Wickerhamomyces ciferrii	1041607	Wickerhamomyces ciferrii	31
1047171	Zymoseptoria tritici	1047171	Zymoseptoria tritici	31
1048829	Paracoccidioides sp. lutzii	1048829	Paracoccidioides lutzii	31
1051613	Verticillium alfalfae	1051613	Verticillium alfalfae	31
1071379	Tetrapisispora blattae	1071379	Tetrapisispora blattae	31
1108849	Penicillium rubens	1108849	Penicillium rubens	31
1173701	Colletotrichum sublineola	1173701	Colletotrichum sublineola	31
1182553	Cladophialophora psammophila	1182553	Cladophialophora psammophila	31
1392244	Pseudozyma brasiliensis	1392244	Kalmanozyma brasiliensis	31
1561998	Caenorhabditis tropicalis	1561998	Caenorhabditis tropicalis	24
